,char,IndvRawFrequency,cumulativeRawFrequency,Pinyin,English,kDefinition,kHanyuPinyin,kMandarin,kTotalStrokes,kSimplifiedVariant,ucn
3271,榆,1360,99.403417039123,yu2,elm,elm tree,21253.010:yú,yú,13,,U+6986
3272,骏,1358,99.404118833336,jun4,spirited horse,"excellent horse, noble steed",,jùn,10,,U+9A8F
3273,诛,1358,99.404820627549,zhu1,execute/punish,"execute, kill, put to death; punish",,zhū,8,,U+8BDB
3274,勺,1357,99.405521904977,shao2,spoon,"spoon, ladle; unit of volume","10254.140:sháo,shuò,zhuó,dì",sháo,3,,U+52FA
3275,梵,1355,99.406222148834,fan4,Brahma/Sanskrit,"Buddhist, Sanskrit",21210.050:fàn,fàn,11,,U+68B5
3276,炽,1354,99.406921875906,chi4,flame/blaze,"burning-hot, intense; to burn, blaze; splendid, illustrious",,chì,9,,U+70BD
3277,笠,1354,99.407621602979,li4,bamboo rain hat,bamboo hat; bamboo covering,52959.020:lì,lì,11,,U+7B20
3278,颌,1353,99.408320813266,he2,maxilla and mandible,mouth; jaw,,hé,12,,U+988C
3279,闸,1352,99.409019506768,zha2,gear/watergate,"sluice; flood gate, canal lock",,zhá,8,,U+95F8
3280,狒,1349,99.409716649915,fei4,hamadryad baboon,baboon,21342.050:fèi,fèi,8,,U+72D2
3281,樊,1346,99.410412242706,fan2,(surname)/cage/fence,a railing; a fence an enclosed place,"21282.020:fán,fàn",fán,15,,U+6A0A
3282,镕,1342,99.411105768357,rong2,,"fuse, melt, smelt; mold",,róng,15,,U+9555
3283,垢,1341,99.411798777222,gou4,dirt/disgrace,"dirt, filth, stains; dirty",10440.010:gòu,gòu,9,,U+57A2
3284,瘟,1341,99.412491786088,wen1,epidemic/pestilence/plague,"epidemic, plague, pestilence","42684.030:wēn,wò,yūn",wēn,14,,U+761F
3285,缪,1341,99.413184794953,miao4/mou2,"(surname), to wind round","wind around, bind; prepare",,móu,14,,U+7F2A
3286,菇,1339,99.413876770249,gu1,mushroom,mushrooms,53242.080:gū,gū,11,,U+83C7
3287,琦,1338,99.414568228759,qi2,curio/valuable stone,"gem, precious stone, jade",21120.100:qí,qí,12,,U+7426
3288,剃,1337,99.415259170484,ti4,"shave, shave/to weed",shave,10342.150:tì,tì,9,,U+5243
3289,迸,1329,99.415945977928,beng4,to burst forth/to spurt/to crack/split,gush out; burst forth; split,,bèng,9,,U+8FF8
3290,溺,1329,99.416632785372,ni4/niao4,"drown/indulge/be addicted to/spoil (a child), urinate/urine",drown; submerge in water; indulge,"31710.070:ruò,nì,niào",nì,13,,U+6EBA
3291,炫,1329,99.417319592816,xuan4,"dazzle/to show off, to boast/to show off","shine, glitter; show off, flaunt",32197.010:xuàn,xuàn,9,,U+70AB
3292,惚,1327,99.41800536669,hu1,indistinct,"absent-minded, confused",42317.130:hū,hū,11,,U+60DA
3293,嗨,1326,99.418690623778,hai1/hei1,oh alas,an exclamation,"10671.030:hāi,hēi",hāi,13,,U+55E8
3294,陨,1324,99.419374847296,yun3,fall/meteor/perish,"fall, slip; let fall; die",,yǔn,9,,U+9668
3295,赃,1321,99.420057520459,zang1,booty/spoils,"booty, loot, stolen goods; bribe",,zāng,10,,U+8D43
3296,羁,1320,99.420739676837,ji1,halter/restrain,"halter; restrain, hold, control",,jī,17,,U+7F81
3297,臻,1318,99.421420799645,zhen1,to reach/utmost,"reach, arrive; utmost, superior",42818.030:zhēn,zhēn,16,,U+81FB
3298,嘀,1318,99.422101922452,di2/di1,backbite,backbite,"10678.130:zhé,dī,dí",dí,14,,U+5600
3299,膳,1315,99.422781494904,shan4,meals,"meals, provisions, board",32113.110:shàn,shàn,16,,U+81B3
3300,赣,1312,99.423459517001,gan4,Jiangxi,Jiangxi province; places therein,,gàn,21,,U+8D63
3301,踌,1310,99.424136505527,chou2,pace back and forth/hesitate/waver,"hesitate, falter; smug, self-satisfied",,chóu,14,,U+8E0C
3302,殉,1310,99.424813494054,xun4,buried with dead/die for a cause,"die for cause, be martyr for",21386.060:xùn,xùn,10,,U+6B89
3303,桔,1309,99.425489965795,jie2/ju2,"Platycodon grandiflorus, tangerine",Chinese bellflower; well-swept; the inner fibers of corn-stalks,"21194.030:jié,xié,jú",jú,10,,U+6854
3304,瞿,1309,99.426166437536,ju4/qu2,"startled, (surname)",surname,"42517.020:jù,qú,jí",qú,18,,U+77BF
3305,闽,1307,99.426841875707,min3,(N) abbreviation for Fujian Province,fujian province; a river; a tribe,,mǐn,9,,U+95FD
3306,豚,1305,99.427516280308,tun2,suckling pig,"small pig, suckling pig; shuffle one's feet","63611.080:tún,dūn,dùn",tún,11,,U+8C5A
3307,掺,1303,99.428189651338,chan1/shan3,"mix, to grasp","mix, blend, adulterate",,càn,11,,U+63BA
3308,沌,1303,99.428863022369,dun4,confused/turbid,"chaotic, confused; turbid, murky","31561.090:dùn,tún,chún,zhuàn",dùn,7,,U+6C8C
3309,惰,1302,99.429535876614,duo4,lazy,"indolent, careless, lazy, idle","42326.110:duò,tuó",duò,12,,U+60F0
3310,喳,1302,99.43020873086,cha1/zha1,twitter/chirp,whispering,"10651.020:zhā,zha",zhā,12,,U+55B3
3311,椭,1301,99.43088106832,tuo3,ellipse,"oval-shaped, elliptical, tubular",,tuǒ,12,,U+692D
3312,咪,1298,99.431551855425,mi1,sound to call cat,"sound of cat, cat's meow; meter; (Cant.) don't!","10622.070:miē,mī,mǎi,mǐ",mī,9,,U+54AA
3313,霎,1296,99.432221608959,sha4,all of a sudden/drizzle,"light rain, drizzle; an instant; passing",64068.060:shà,shà,16,,U+970E
3314,侃,1295,99.432890845708,kan3,bold,upright and strong; amiable,10148.030:kǎn,kǎn,8,,U+4F83
3315,猝,1293,99.433559048888,cu4,abrupt/hurried,"abruptly, suddenly; abrupt",21354.100:cù,cù,11,,U+731D
3316,窖,1292,99.434226735282,jiao4,cellar,"pit, cellar","42731.090:jiào,zào",jiào,12,,U+7A96
3317,戮,1292,99.434894421676,lu4,kill,"kill, massacre; oppress",21412.050:lù,lù,15,,U+622E
3318,祠,1291,99.435561591284,ci2,ancestral hall/temple,ancestral temple; offer sacrifice,"42395.010:cí,sì",cí,9,,U+7960
3319,瞩,1284,99.436225143397,zhu3,to gaze at/to stare at,"watch carefully, stare at, focus on",,zhǔ,17,,U+77A9
3320,菁,1284,99.43688869551,jing1,flower of leek,flower of leek family; turnip,53227.060:jīng,jīng,11,,U+83C1
3321,躇,1283,99.437551730838,chu2,hesitate,"hesitate, falter, be undecided","63732.140:chú,chuò",chú,18,,U+8E87
3322,佬,1283,99.438214766166,lao3,male/man (Cantonese),"(Cant.) man, person; mature","10144.020:liáo,lǎo",lǎo,8,,U+4F6C
3323,肋,1282,99.438877284708,lei4,rib,ribs; chest,"32043.100:lèi,lē,jīn",lē,6,,U+808B
3324,咄,1282,99.439539803251,duo1,"noise of rage, cry out in anger","noise of rage, cry out in anger",10609.100:duō,duō,8,,U+5484
3325,忡,1273,99.440197670727,chong1,grieved/distressed/sad/uneasy,"a sad, uneasy countenance",42276.100:chōng,chōng,7,,U+5FE1
3326,雍,1272,99.440855021419,yong1,(surname)/harmonious,"harmony, union; harmonious",10291.090:yōng,yōng,13,,U+96CD
3327,忱,1268,99.441510304969,chen2,sincerity/honesty,"truth, sincerity; sincere","42278.080:chén,dàn",chén,7,,U+5FF1
3328,蕾,1268,99.44216558852,lei3,bud,"buds, unopened flowers",53300.180:lěi,lěi,16,,U+857E
3329,跄,1265,99.442819321716,qiang1/qiang4,"walk rapidly, stagger/sway from side to side",walk rapidly,,qiāng,11,,U+8DC4
3330,硅,1264,99.443472538126,gui1,silicon,"silicon (element 14, Si)","42427.070:hè,guī",guī,11,,U+7845
3331,伎,1264,99.444125754536,ji4,craft,"talent, skill, ability","10119.020:jì,zhì,qí,qì",jì,6,,U+4F0E
3332,炊,1262,99.444777937376,chui1,dress food/to steam/to cook food,cook; meal,32192.140:chuī,chuī,8,,U+708A
3333,钊,1261,99.445429603431,zhao1,encourage/to cut/to strain,"endeavor, strive; encourage; cut",,zhāo,7,,U+948A
3334,蝠,1259,99.446080235915,fu2,bat,bat,42868.100:fú,fú,15,,U+8760
3335,屎,1257,99.44672983483,shi3,stool/feces,"excrement, shit, dung","20973.060:shǐ,xī",shǐ,9,,U+5C4E
3336,拭,1257,99.447379433744,shi4,wipe,wipe away stains with cloth,31865.030:shì,shì,9,,U+62ED
3337,谛,1257,99.448029032658,di4,examine/truth (Buddhist),"careful, attentive",,dì,11,,U+8C1B
3338,褪,1256,99.448678114787,tun4/tui4,fade/take off (clothes),"strip, undress; fall off; fade","53104.140:tùn,tuì",tuì,14,,U+892A
3339,丞,1254,99.449326163346,cheng2,deputy,"assist, aid, rescue","10019.080:chéng,shèng,zhēng,zhěng",chéng,6,,U+4E1E
3340,卉,1253,99.44997369512,hui4,plants,general term for plants; myriads,10059.080:huì,huì,5,,U+5349
3341,隧,1252,99.450620710108,sui4,subterranean/underground passage,"tunnel, underground passageway, path to a tomb","64159.010:suì,zhuì",suì,14,,U+96A7
3342,茸,1247,99.451265141171,rong2,confused/fluffy/luxuriant growth,"soft, downy; buds, sprouts","53200.030:róng,rǒng",rōng,9,,U+8338
3343,钳,1243,99.451907505094,qian2,pincers/pliers/tongs/claw (of animal)/to grasp with pincers/to pinch/to clamp/to restrain/to restrict/to gag,"pincers, pliers, tongs; to compress",,qián,10,,U+94B3
3344,啃,1242,99.452549352231,ken3,to gnaw/to nibble/to bite,"gnaw, chew, bite",10639.080:kěn,kěn,11,,U+5543
3345,伢,1242,99.453191199368,ya2,child (collequial),child,10120.060:yá,yá,6,,U+4F22
3346,闺,1236,99.453829945795,gui1,women's apartment,small entrance; women's quarters,,guī,9,,U+95FA
3347,舔,1236,99.454468692221,tian3,to lick/to lap,lick with tongue; taste,"52944.040:tiǎn,tān",tiǎn,14,,U+8214
3348,蹬,1233,99.455105888292,deng4/deng1,step into (as tight shoe),"step on, tread on; lose energy","63742.080:dèng,dēng",dēng dèng,19,,U+8E6C
3349,挛,1230,99.455741534008,luan2,twisted/bent/crooked/cramped,tangled; entwined; crooked,,luán,10,U+631B,U+631B
3350,眺,1230,99.456377179723,tiao4,gaze afar,"look at, gaze at, scan, survey",42486.090:tiào,tiào,11,,U+773A
3351,袱,1227,99.457011275084,fu2,bundle wrapped in cloth,a piece of cloth used wrap bundles,53089.040:fú,fú,11,,U+88B1
3352,陇,1225,99.457644336874,long3,Gansu,mountain located between Shanxi,,lǒng,7,,U+9647
3353,殴,1221,99.458275331523,ou1,brawl,"beat, fight with fists, hit",,ōu,8,,U+6BB4
3354,柿,1221,99.458906326173,shi4,persimmon,persimmon,21188.020:shì,shì,9,,U+67FF
3355,梧,1218,99.459535770467,wu2,Sterculia platanifolia,"Chinese parasol tree, Sterculia platanifolia","21211.020:wú,wù,yǔ",wú,11,,U+68A7
3356,惺,1216,99.46016418119,xing1,tranquil/understand,"intelligent, clever, astute",42328.020:xīng,xīng,12,,U+60FA
3357,弛,1215,99.460792075129,chi2,unstring a bow/slacken/relax/loosen,"loosen, relax, unstring a bow",20991.130:chí,chí,6,,U+5F1B
3358,侥,1215,99.461419969068,jiao3/yao2,by mere luck,"be lucky; by chance, by luck",,jiǎo,8,,U+4FA5
3359,琛,1215,99.462047863006,chen1,precious stone/gem,"treasure, valuables",21124.040:chēn,chēn,12,,U+741B
3360,捅,1211,99.462673689804,tong3,poke through,jab,31888.040:tǒng,tǒng,10,,U+6345
3361,酝,1206,99.463296932677,yun4,to brew,"liquor, spirits, wine; ferment",,yùn,11,,U+915D
3362,薯,1204,99.463919141979,shu3,potato/yam,"yam, tuber, potato",53301.180:shǔ,shǔ,16,,U+85AF
3363,曳,1203,99.464540834496,ye4,drag,"trail, tow, drag, pull",21486.050:yè,yè,6,,U+66F3
3364,澈,1202,99.465162010228,che4,clear (water)/thorough,"thoroughly, completely",31747.040:chè,chè,15,,U+6F88
3365,锈,1198,99.465781118819,xiu4,rust,"rust, corrode",,xiù,12,,U+9508
3366,稠,1194,99.46639816027,chou2,dense/crowded/thick/many,"dense, crowded, packed; soupy","42614.100:chóu,tiáo,diào",chóu,13,,U+7A20
3367,眸,1193,99.467014684935,mou2,pupil of the eye,pupil of eye; eye,42489.040:móu,móu,11,,U+7738
3368,咆,1191,99.467630176031,pao2,to roar,roar,10608.020:páo,páo,8,,U+5486
3369,簧,1190,99.468245150341,huang2,metallic reed/spring of lock,reed of woodwind instrument,53006.150:huáng,huáng,17,,U+7C27
3370,鸥,1189,99.468859607866,ou1,common gull,"seagull, tern; Larus species (various)",,ōu,9,,U+9E25
3371,疡,1189,99.469474065391,yang2,ulcers/sores,"ulcers, sores; infection",,yáng,8,,U+75A1
3372,渎,1186,99.470086972561,du2,ditch/trouble (some one to do),"ditch, sluice, gutter, drain",,dú,11,,U+6E0E
3373,汲,1183,99.470698329375,ji2,draw water from well,draw water from well; imbibe,31554.010:jí,jí,6,,U+6C72
3374,嬉,1183,99.47130968619,xi1,amusement,"enjoy; play, amuse oneself","21079.020:xī,xǐ",xī,15,,U+5B09
3375,脓,1180,99.471919492648,nong2,pus,pus,,nóng,10,,U+8113
3376,骡,1178,99.472528265537,luo2,mule,mule,,luó,14,,U+9AA1
3377,穗,1178,99.473137038426,sui4,ear of grain,ear of grain; tassel; Guangzhou,42631.120:suì,suì,17,,U+7A57
3378,槛,1176,99.473744777744,jian4/kan3,"bar/railing, door sill/threshold","threshold, door-sill",,kǎn,14,,U+69DB
3379,拎,1176,99.474352517062,ling1/lin1,to haul/to lift/to take,to haul; to lift; to take,31855.060:līng,līn,8,,U+62CE
3380,巳,1176,99.474960256381,si4,6th earthly branch/9-11 a.m.,the hours from 9 to 11; 6th terrestrial branch,"20984.020:sì,yǐ",sì,3,,U+5DF3
3381,邢,1176,99.475567995699,xing2,(surname)/place name,surname; state in today's Hebei,"63757.010:xíng,gěng",xíng,6,,U+90A2
3382,廿,1175,99.476175218232,nian4,twenty,"twenty, twentieth",10059.020:niàn,niàn,4,,U+5EFF
3383,搀,1172,99.47678089041,chan1,assist by the arm/mix/support/sustain,give helping hand,,chān,12,,U+6400
3384,曙,1171,99.477386045803,shu3,dawn/the dawn of a new epoch (metaphor),"bright, light of rising sun",21538.090:shǔ,shǔ,17,,U+66D9
3385,樵,1169,99.477990167625,qiao2,firewood/gather wood,woodcutter; firewood; gather wood,21293.070:qiáo,qiáo,16,,U+6A35
3386,隅,1167,99.478593255878,yu2,corner,"corner, nook, remote place",64145.010:yú,yú,11,,U+9685
3387,筛,1166,99.479195827345,shai1,to filter/to sift/to sieve,"sieve, filter, screen; sift",,shāi,12,,U+7B5B
3388,谒,1163,99.479796848456,ye4,to visit (a superior),"visit, pay respects",,yè,11,,U+8C12
3389,倭,1160,99.480396319212,wo1,Japanese/dwarf,"dwarf; dwarfish, short","10179.080:wēi,wō,wǒ",wō,10,,U+502D
3390,痹,1158,99.480994756398,bi4,"paralysis, numbness, numb/paralysis","paralysis, numbness",42680.040:bì,bì,13,,U+75F9
3391,猖,1157,99.481592676799,chang1,mad/wild,"mad, wild, reckless, unruly",21353.040:chāng,chāng,11,,U+7316
3392,佯,1154,99.482189046844,yang2,pretend,"pretend, feign; false, deceitful",10153.020:yáng,yáng,8,,U+4F6F
3393,肛,1147,99.482781799394,gang1,anus,anus,32044.070:gāng,gāng,7,,U+809B
3394,奚,1147,99.483374551943,xi1,what why,where? what? how? why?; servant,10541.110:xī,xī,10,,U+595A
3395,甭,1146,99.483966787708,beng2,need not,there is no need,"10025.110:qì,béng",béng,9,,U+752D
3396,抨,1146,99.484559023472,peng1,attack/impeach,"impeach, censure; attack","31850.040:pēng,bēng",pēng,8,,U+62A8
3397,蛾,1145,99.485150742451,e2,moth,moth,"42856.060:yǐ,é",é,13,,U+86FE
3398,唠,1143,99.48574142786,lao2/lao4,to chatter,"chat, jaw, gossip, talk",,láo,10,,U+5520
3399,荧,1142,99.486331596484,ying2,Polyeonatum officinale/glimmer/glimmering/dazzling/perplexed,"shine, shimmer; shining, dazzling",,yíng,9,,U+8367
3400,嵩,1142,99.486921765108,song1,lofty/name of a mountain in Henan,"high, lofty; one of the 5 peaks, situated in Hunan",10791.180:sōng,sōng,13,,U+5D69
3401,漱,1139,99.487510383376,shu4,to rinse (mouth),"gargle, rinse; wash, scour",31719.010:shù,shù,14,,U+6F31
3402,酋,1138,99.488098484859,qiu2,tribal chief,"chief of tribe, chieftain",63572.040:qiú,qiú,9,,U+914B
3403,攘,1138,99.488686586343,rang3,throw into confusion,"seize, take by force; repel","31985.020:ràng,rǎng,níng,xiǎng",rǎng,20,,U+6518
3404,诘,1138,99.489274687826,jie2,investigate/restrain/scold,"question, interrogate",,jí,8,,U+8BD8
3405,篡,1137,99.489862272524,cuan4,to seize/to usurp,usurp,53000.050:cuàn,cuàn,16,,U+7BE1
3406,睿,1134,99.490448306867,rui4,astute/perspicacious/farsighted,"shrewd, astute, clever, keen",42501.080:ruì,ruì,14,,U+777F
3407,噩,1133,99.491033824424,e4,startling,"bad, ill-omened, unlucky",10688.120:è,è,16,,U+5669
3408,怅,1132,99.491618825197,chang4,regretful/upset/despair/depressed,"disappointed, dissatisfied",,chàng,7,,U+6005
3409,盎,1131,99.492203309184,ang4,abundant/bowl/dish/pot,cup; pot; bowl; abundant,42559.090:àng,àng,10,,U+76CE
3410,徙,1131,99.492787793171,xi3,change one's residence,"move one's abode, shift, migrate","20827.120:xǐ,sī",xǐ,11,,U+5F99
3411,鞅,1130,99.493371760373,yang3/yang1,martingale,leather strap over horse's neck,"74331.010:yāng,yǎng,yàng",yāng,14,,U+9785
3412,漓,1127,99.49395417722,li2,pattering (of rain)/seep through,river in Guangxi province; water dripping,31705.030:lí,lí,13,U+6F13,U+6F13
3413,祟,1127,99.494536594067,sui4,evil spirit,evil spirit; evil influence,42390.190:suì,suì,10,,U+795F
3414,睫,1126,99.495118494129,jie2,eyelashes,eyelashes,"42495.090:jié,shè",jié,13,,U+776B
3415,攸,1126,99.49570039419,you1,"distant, far/adverbial prefix","distant, far; adverbial prefix",10132.010:yōu,yōu,7,,U+6538
3416,翎,1125,99.496281777467,ling2,tail feathers,feather; plume; wing,53345.050:líng,líng,11,,U+7FCE
3417,呛,1120,99.496860576818,qiang1/qiang4,"against wind, choke/pungent",choke by smoke; irritates nose,,qiāng,7,,U+545B
3418,筐,1119,99.497438859383,kuang1,basket,bamboo basket or chest,52961.050:kuāng,kuāng,12,,U+7B50
3419,堑,1119,99.498017141949,qian4,moat around a city,"moat, trench, pit, cavity",,qiàn,11,,U+5811
3420,檀,1119,99.498595424515,tan2,sandal wood,"sandalwood, hardwood; surname","21305.010:tán,shàn",tán,17,,U+6A80
3421,寅,1117,99.49917267351,yin2,3-5 a.m./3rd earthly branch,"to respect, reverence; respectfully; 3rd terrestrial branch",20936.160:yín,yín,11,,U+5BC5
3422,磊,1114,99.49974837215,lei3,lumpy/rock pile/uneven,pile of rocks or stones; great,42447.030:lěi,lěi,15,,U+78CA
3423,驭,1114,99.50032407079,yu4,manage/to drive,"drive, ride; manage, control",,yù,5,,U+9A6D
3424,惘,1114,99.50089976943,wang3,desolate,"disconcerted, dejected, discouraged",42315.120:wǎng,wǎng,11,,U+60D8
3425,吠,1113,99.501474951285,fei4,to bark,bark,10587.020:fèi,fèi,7,,U+5420
3426,驮,1111,99.50204909957,duo4/tuo2,"carry on back, carry on back",carry on back,,tuó,6,,U+9A6E
3427,瑙,1108,99.502621697499,nao3,agate,agate; cornelian,21130.020:nǎo,nǎo,13,U+3087B,U+7459
3428,炬,1107,99.503193778643,ju4,torch,torch,32191.110:jù,jù,8,,U+70AC
3429,痉,1106,99.503765343002,jing4,spasm,"convulsions, fits",,jìng,10,,U+75C9
3430,曝,1105,99.504336390576,pu4,to air/to sun,"sun, air in sun, expose or dry in the sun",21540.130:pù,pù,19,,U+66DD
3431,恺,1105,99.504907438149,kai3,joyful/kind,"enjoy, be contented, joyful",,kǎi,9,,U+607A
3432,胺,1103,99.505477452153,an4,amine,amine,"32072.050:è,àn",àn,10,,U+80FA
3433,萤,1103,99.506047466156,ying2,firefly,"glow-worm, luminous insect",,yíng,11,,U+8424
3434,敕,1103,99.50661748016,chi4,imperial orders,an imperial order or decree,"21460.030:chì,sōu",chì,11,,U+6555
3435,筝,1100,99.507185943808,zheng1,(mus. instr.),stringed musical instrument; kite,52970.010:zhēng,zhēng,12,,U+7B5D
3436,幡,1097,99.507752857101,fan1,banner,"pennant, banner, streamer, flag",10754.140:fān,fān,15,,U+5E61
3437,霹,1095,99.508318736823,pi1,clap of thunder,"thunder, crashing thunder",64080.020:pī,pī,21,,U+9739
3438,竺,1095,99.508884616546,zhu2,(surname),India; bamboo; surname,"52947.020:dǔ,zhú",zhú,8,,U+7AFA
3439,烙,1093,99.509449462698,lao4,bake/flat iron/large cake,"brand, burn; branding iron","32200.160:luò,lào",lào,10,,U+70D9
3440,毗,1093,99.51001430885,pi2,adjoin/border,"help, assist; connect, adjoin",21417.080:pí,pí,9,,U+6BD7
3441,鸠,1092,99.510578638217,jiu1,turtle-dove/Turtur orientalis,"pigeon; collect, assemble",,jiū,7,,U+9E20
3442,埠,1091,99.511142450799,bu4,a jetty/port/a city/quay,port city,10454.060:bù,bù,11,,U+57E0
3443,蒜,1091,99.511706263381,suan4,garlic,garlic,53259.130:suàn,suàn,13,,U+849C
3444,阜,1089,99.512269042393,fu4,abundant/mound,"mound; abundant, ample, numerous; Kangxi radical 170",64114.010:fù,fù,8,,U+961C
3445,嘈,1087,99.512830787834,cao2,bustling/tumultuous/noisy,noisy,10674.090:cáo,cáo,14,,U+5608
3446,乒,1086,99.51339201649,ping1,bing (onomat.),used with “pong” (U+4E53 乓) for “ping pong”,10038.030:pīng,pīng,6,,U+4E52
3447,帷,1086,99.513953245147,wei2,curtain/screen,"tent; curtain, screen",10745.080:wéi,wéi,11,,U+5E37
3448,啄,1084,99.514513440233,zhuo2,to peck,to peck; (Cant.) to slander,"10639.010:zhuó,zhòu",zhuó,11,,U+5544
3449,鳌,1083,99.515073118533,ao2,sea turtle,huge sea turtle,,áo,18,,U+9CCC
3450,毡,1082,99.515632280049,zhan1,felt,"felt; rug, carpet",,zhān,9,U+6BE1,U+6BE1
3451,阙,1082,99.516191441565,que1/que4,"deficiency, (surname)/imperial city",watch tower; palace,,quē,13,,U+9619
3452,褥,1081,99.516750086295,ru4,mattress,"mattress, cushion; bedding","53107.080:rù,nù",rù,15,,U+8925
3453,搔,1080,99.517308214241,sao1,disturb/to scratch,to scratch,"31939.060:sāo,sào",sāo,12,,U+6414
3454,笋,1079,99.517865825401,sun3,bamboo shoot,bamboo shoots,52952.110:sǔn,sǔn,10,U+7B0B,U+7B0B
3455,冕,1078,99.518422919776,mian3,royal crown,crown; ceremonial cap,21514.060:miǎn,miǎn,11,,U+5195
3456,狞,1078,99.518980014151,ning2,fierce-looking,ferocious appearance; hideous,,níng,8,,U+72DE
3457,韶,1078,99.519537108527,shao2,(music)/excellent/harmonious,music of the emperor Shun; beautiful,74496.020:sháo,sháo,14,,U+97F6
3458,骼,1078,99.520094202902,ge2,skeleton,bone; skeleton; corpse,74411.100:gé,gé,15,,U+9ABC
3459,蔼,1075,99.520649746922,ai3,friendly,"lush; affable, friendly",,ǎi,14,,U+853C
3460,烹,1074,99.521204774156,peng1,cuisine/cooking,"boil, cook; quick fry, stir fry",32207.040:pēng,pēng,11,,U+70F9
3461,奄,1073,99.521759284606,yan1/yan3,"castrate/to delay, suddenly/to embrace","ere long; remain, tarry; feeble","10534.030:yǎn,yān",yǎn,8,,U+5944
3462,嫖,1073,99.522313795055,piao2,visit a prostitute,"patronize prostitutes, frequent","21076.050:piào,piáo,biāo",piáo,14,,U+5AD6
3463,沐,1072,99.52286778872,mu4,bathe/cleanse/receive favors,"bathe, cleanse, wash, shampoo",31558.070:mù,mù,7,,U+6C90
3464,噗,1070,99.523420748814,pu1,sound of escaping laughter/water,burst,10682.180:pū,pū,15,,U+5657
3465,岑,1069,99.523973192123,cen2,a small hill/(a surname),"steep, precipitous; peak",10763.230:cén,cén,7,,U+5C91
3466,蛟,1069,99.524525635432,jiao1,scaly dragon,scaly dragon with four legs,42851.110:jiāo,jiāo,12,,U+86DF
3467,掳,1067,99.52507704517,lu3,take captive,"capture, seize",,lǔ,11,,U+63B3
3468,咏,1067,99.525628454909,yong3,sing,"sing song or poem, hum, chant",,yǒng,8,U+548F,U+548F
3469,弩,1067,99.526179864648,nu3,cross-bow,"cross-bow, bow; downward stroke",20994.050:nǔ,nǔ,8,,U+5F29
3470,捻,1066,99.526730757601,nian3,twirl (in the fingers),to twist or nip with the fingers,"31901.030:niē,niǎn,niān",niǎn,11,,U+637B
3471,圃,1066,99.527281650555,pu3,garden/orchard,"garden, cultivated field",10718.150:pǔ,pǔ,10,,U+5703
3472,孚,1066,99.527832543508,fu2,trust,brood over eggs; have confidence,21012.060:fú,fú,7,,U+5B5A
3473,悴,1064,99.528382402892,cui4,haggard/sad/downcast/distressed,"suffer, become emaciated, haggard",42318.060:cuì,cuì,11,,U+60B4
3474,诣,1063,99.52893174549,yi4,go,"reach; achievement, accomplishment",,yì,8,,U+8BE3
3475,呱,1063,99.529481088088,gu1/gua1,crying sound of child,"wail, crying of child; swear at","10604.100:gū,guā,guǎ",gū,8,,U+5471
3476,祁,1062,99.530029913901,qi2,(surname),"pray; numerous, ample, abundant","42385.070:qí,zhǐ",qí,6,,U+7941
3477,捶,1061,99.530578222929,chui2,beat with the fist/to hammer/to cudgel,"strike with stick, lash, beat","31897.130:chuí,duǒ",chuí,11,,U+6376
3478,钠,1061,99.531126531957,na4,sodium,"sodium, natrium; sharpen wood",,nà,9,,U+94A0
3479,袄,1057,99.531672773844,ao3,coat/jacket/short and lined coat or robe,"outer garments; coat, jacket",,ǎo,9,U+8884,U+8884
3480,澎,1056,99.532218498946,peng2,sound of waves,splatter,"31736.020:pēng,péng",pēng,15,,U+6F8E
3481,氮,1055,99.532763707263,dan4,nitrogen,"nitrogen (element 7, N)",32013.060:dàn,dàn,12,,U+6C2E
3482,恪,1055,99.53330891558,ke4,(surname)/respectful,"respectful, reverent",42298.030:kè,kè,9,,U+606A
3483,雏,1052,99.533852573542,chu2,chick/young bird,"chick, fledging; infant, toddler",,chú,13,,U+96CF
3484,撮,1049,99.534394681148,cuo1,bring together/little bit/shovel/gather up/bring together/pick,"little bit, small amount, pinch","31957.020:cuō,zuì,zuān,chuā,zuǒ",cuō,15,,U+64AE
3485,堰,1049,99.534936788754,yan4,weir,"dam; embankment, dike, bank",10461.050:yàn,yàn,12,,U+5830
3486,彷,1049,99.535478896361,pang2,irresolute,"like, resembling; resemble","20815.010:páng,fǎng,fáng",fǎng,7,,U+5F77
3487,鹦,1049,99.536021003967,ying1,parrot,parrot,,yīng,16,,U+9E66
3488,晖,1046,99.536561561218,hui1,bright/radiant,"sunshine; light, bright, radiant",,huī,10,,U+6656
3489,犀,1044,99.537101084898,xi1,rhinoceros,"rhinoceros; sharp, well-tempered","31812.030,31815.010:xī",xī,12,,U+7280
3490,腑,1043,99.537640091794,fu3,internal organs,"bowels, entrails, internal organs",32090.060:fǔ,fǔ,12,,U+8151
3491,沽,1043,99.538179098689,gu1,buy/sell,buy and sell; inferior in quality,"31581.020:gū,gǔ",gū,8,,U+6CBD
3492,橄,1043,99.538718105585,gan3,olive,olive,21285.030:gǎn,gǎn,15,,U+6A44
3493,掐,1042,99.539256595695,qia1,pick (flowers)/to pinch,hold; gather with hand; choke,31902.070:qiā,qiā,11,,U+6390
3494,亵,1042,99.539795085805,xie4,licentious,"slight, insult, treat with disrespect",,xiè,12,,U+4EB5
