,char,IndvRawFrequency,cumulativeRawFrequency,Pinyin,English,kDefinition,kHanyuPinyin,kMandarin,kTotalStrokes,kSimplifiedVariant,ucn
504,推,80933,76.01622928574,tui1,push/refuse (responsibility)/shove,"push, expel; push forward",31898.070:tuī,tuī,11,,U+63A8
505,势,80705,76.057936430033,shi4,conditions/influence/tendency,"power, force; tendency",,shì,8,U+52BF,U+52BF
506,参,80663,76.099621869351,can1/shen1,"take part in/participate/join/attend/to join/unequal/varied/irregular/to counsel/uneven/not uniform, ginseng","take part in, intervene; ginseng",,cān,8,U+53C2,U+53C2
507,希,80460,76.141202401286,xi1,rare/infrequent,"rare; hope, expect, strive for",10731.190:xī,xī,7,,U+5E0C
508,古,80454,76.18277983251,gu3,ancient/old,"old, classic, ancient","10568.030:gǔ,gù,kū",gǔ,5,,U+53E4
509,众,80390,76.224324189485,zhong4,multitude,"multitude, crowd; masses, public","10117.070:yín,zhòng",zhòng,6,U+4F17,U+4F17
510,构,80364,76.265855110047,gou4,Broussonetia papyrifera/to construct/to form/to make up/to compose,"frame, building, structure",,gòu,8,U+6784,U+6784
511,房,80320,76.307363292064,fang2,house,"house, building; room","32260.040:fáng,páng",fáng,8,,U+623F
512,半,80183,76.348800674516,ban4,half/semi-/incomplete/(after a number) and a half/half,half,"10046.010:bàn,pàn",bàn,5,,U+534A
513,节,80074,76.390181727389,jie2/jie1,festival/section/segment/point/part/to economize/to save/temperate,"knot, node, joint; section",,jié,5,,U+8282
514,土,79809,76.431425832202,tu3,earth/dust,"soil, earth; items made of earth","10415.010:tǔ,dù,chǎ,tú",tǔ,3,,U+571F
515,投,79708,76.472617741715,tou2,to throw/to send,"throw, cast, fling, pitch; jump","31842.030:tóu,dòu",tóu,7,,U+6295
516,某,79482,76.513692857789,mou3,(used before measure word and noun) some/(a) certain/so and so,certain thing or person,"21177.040:méi,mǒu",mǒu,9,,U+67D0
517,案,79395,76.554723013555,an4,(legal) case/incident/record/file/table,"table, bench; legal case",21207.080:àn,àn,10,,U+6848
518,黑,78896,76.59549529354,hei1,black/dark,"black; dark; evil, sinister; Kangxi radical 203",74743.010:hēi,hēi,12,,U+9ED1
519,维,78877,76.636257754606,wei2,to preserve/to maintain/to hold together/dimension,"maintain, preserve, safeguard",,wéi,11,,U+7EF4
520,革,78685,76.676920992927,ge2,leather/remove,"leather, animal hides; Kangxi radical 177","74325.010:gé,jí",gé,9,,U+9769
521,划,78648,76.717565110198,hua2/hua4,"to row, to delimit/to transfer/to assign/to differentiate/to mark off/to draw (a line)/to delete/stroke of a Chinese character",to row or paddle boat; to scratch,"10326.020:guò,guǒ,huá,huà",huà,6,U+5212,U+5212
522,敌,78620,76.758194757486,di2,enemy/match,"enemy, foe, rival; resist","52943.020:huá,dí",dí,10,,U+654C
523,致,78238,76.798626992851,zhi4,"fine and close, to send/to devote/to deliver/to cause/to convey","send, deliver, present; cause","42815.060:zhì,zhuì",zhì,10,U+81F4,U+81F4
524,陈,77914,76.838891789834,chen2,arrange/exhibit/narrate/tell/old/stale/a surname/to state/to display/to explain/(surname),"exhibit, display; plead; a surname",,chén,7,,U+9648
525,律,77818,76.879106975443,lu:4/lv4,law,"statute, principle, regulation",20821.010:lǜ,lǜ,9,,U+5F8B
526,足,77385,76.919098393089,zu2,foot/to be sufficient,"foot; attain, satisfy, enough; Kangxi radical 156","63686.010:zú,jù",zú,7,,U+8DB3
527,态,77219,76.959004024402,tai4,attitude,"manner, bearing, attitude",,tài,8,,U+6001
528,护,76993,76.998792862275,hu4,protect,"protect, guard, defend, shelter",,hù,7,,U+62A4
529,七,76766,77.038464389923,qi1,seven/7,seven,10003.030:qī,qī,2,,U+4E03
530,兴,76760,77.07813281686,xing1/xing4,"flourish/it is the fashion to/to become popular, interest","thrive, prosper, flourish",,xìng,6,,U+5174
531,派,76750,77.117796075945,pai4,clique/school/group/faction/to dispatch,"school of thought, sect, branch","31611.060:pài,mài,bài,pā",pài,9,,U+6D3E
532,孩,76620,77.157392152963,hai2,child,"baby, child; children",21015.110:hái,hái,9,,U+5B69
533,验,76542,77.19694792074,yan4,to examine/to test/to check,"test, examine, inspect; verify",,yàn,10,,U+9A8C
534,责,76377,77.236418418971,ze2,duty/responsibility/to reproach/to blame,"one's responsibility, duty",,zé,8,,U+8D23
535,营,76372,77.275886333275,ying2,army/to deal in/to trade/to operate/to run/camp/nourishment/to manage,"encampment, barracks; manage",,yíng,11,,U+8425
536,星,76320,77.315327374752,xing1,star/satellite/small amount,"a star, planet; any point of light",21500.120:xīng,xīng,9,,U+661F
537,够,76181,77.354696583096,gou4,to reach/to be enough,"enough, adequate",20863.190:gòu,gòu,11,U+591F,U+591F
538,章,76098,77.394022898274,zhang1,(surname)/chapter/seal/section,"composition; chapter, section","42709.040:zhāng,zhàng",zhāng,11,,U+7AE0
539,音,76043,77.433320790269,yin1,sound/noise/news,"sound, tone, pitch, pronunciation; Kangxi radical 180",74495.010:yīn,yīn,9,,U+97F3
540,跟,75958,77.472574755528,gen1,to follow/to go with/heel/with/and,"heel; to follow, accompany; with",63706.140:gēn,gēn,13,,U+8DDF
541,志,75904,77.511800814389,zhi4,"the will, sign/mark/to record/write a footnote","purpose, will, determination; annals",42269.040:zhì,zhì,7,U+5FD7,U+5FD7
542,底,75728,77.550935919067,de/di3,"(possessive part.)/(subor. part.), background/bottom/base","bottom, underneath, underside","20878.040:dǐ,de",dǐ,8,,U+5E95
543,站,75402,77.589902551791,zhan4,station/to stand/to halt/to stop,"stand up; a stand, station","42707.280:zhàn,zhān",zhàn,10,,U+7AD9
544,严,75278,77.628805103158,yan2,(air or water) tight/stern/serious/strict/severe,"strict, rigorous, rigid; stern",,yán,7,,U+4E25
545,巴,74917,77.667521095092,ba1,"(suff. for certain nouns)/to hope/to wish/Palestinian, Palestine (abbrev.)/Pakistan (abbrev.)/Pascal (unit of pressure)","greatly desire, anxiously hope",20985.010:bā,bā,4,,U+5DF4
546,例,74579,77.70606241365,li4,example/precedent/rule/case/instance,"precedent, example; regulation","10146.080:lì,liè",lì,8,,U+4F8B
547,防,74459,77.744541717992,fang2,to protect/to defend/to guard (against),defend; prevent; embankment,64118.010:fáng,fáng,6,,U+9632
548,族,74174,77.78287373857,zu2,race/nationality/ethnicity/clan,"a family clan, ethnic group, tribe","32181.010:zú,sǒu,còu,zòu",zú,11,,U+65CF
549,供,74168,77.821202658438,gong1/gong4,"offer (information etc.)/supply, offer/sacrificial offering/trial statement/confession","supply, provide for; offer in worship","10144.040:gòng,gōng",gōng,8,,U+4F9B
550,效,74009,77.859449409469,xiao4,"imitate, effect/efficacy/imitate","result, effect; effectiveness",21457.110:xiào,xiào,10,,U+6548
551,续,73927,77.897653784119,xu4,continue/replenish,"continue, carry on; succeed",,xù,11,,U+7EED
552,施,73861,77.935824050951,shi1,(surname)/distribute (alms)/to do/to execute/to carry out,"grant, bestow; give; act; name","32176.060:shī,yì,shǐ",shī,9,,U+65BD
553,留,73287,77.973697683115,liu2,leave (message)/to retain/to stay/to remain/to keep/to preserve,"stop, halt; stay, detain, keep","42537.040:liú,liù,liǔ",liú,10,,U+7559
