,char,code
542,即,12 21 13
543,改,12 21 45
544,忌,12 21 55
545,君,12 32 24
546,张,12 41 31
547,尾,12 41 31
548,尿,12 41 53
549,迟,12 43 53
550,局,12 44 24
551,医,13 35
552,否,13 43 24
553,还,13 43 53
554,辰,14 13 43
555,序,14 14 13
556,劲,14 15 32
557,励,14 44 32
558,鸡,14 45 11
559,忍,14 51 55
560,贡,15 25 43
561,弄,15 33
562,攻,15 45
563,严,15 52 41
564,坚,21 14 32
565,步,21 22 53
566,岗,22 23 43
567,肝,23 11 15
568,肚,23 11 32
569,助,23 11 32
570,肠,23 11 41
571,完,23 11 42
572,县,23 11 43
573,删,23 23 21
574,宏,23 32 43
575,帐,23 41 31
576,究,23 43 32
577,穷,23 43 32
578,围,24 11 31
579,吴,24 11 34
580,园,24 11 42
581,吧,24 12 21
582,呀,24 13 21
583,呈,24 15
584,吼,24 15 21
585,足,24 21 43
586,串,24 24 21
587,员,24 25 43
588,吨,24 31 22
589,别,24 32 21
590,困,24 34
591,呆,24 34
592,听,24 41 13
593,吩,24 43 14
594,吹,24 45
595,呜,24 45 11
596,吵,24 54 41
597,盯,25 13
598,旱,25 15
599,邮,25 21 32
600,时,25 31 51
601,里,25 32
602,男,25 32
603,财,25 43 31
604,旷,25 51 14
605,扭,31 11 32
606,扶,31 11 34
607,抚,31 11 34
608,把,31 12 21
609,拒,31 13 12
610,报,31 13 14
611,扯,31 21 22
612,批,31 21 42
613,克,31 24 42
614,技,31 31 14
615,抛,31 32 32
616,找,31 34 51
617,扰,31 34 51
618,折,31 41 13
619,抓,31 41 21
620,抢,31 43 13
621,扮,31 43 14
622,投,31 44 14
623,护,31 51 12
624,抗,31 51 44
625,抖,31 52 31
626,求,31 53 51
627,抄,31 54 41
628,坛,32 11 43
629,声,32 12 41
630,块,32 12 43
631,阿,32 13 24
632,坏,32 13 43
633,址,32 21 22
634,走,32 21 43
635,阻,32 23 11
636,壳,32 23 44
637,坝,32 25 43
638,陆,32 31 22
639,陈,32 32 54
640,孝,32 41 15
641,附,32 42 31
642,却,32 43 13
643,劫,32 43 32
644,均,32 44 52
645,坟,32 51 43
646,坑,32 51 44
647,坊,32 51 44
648,赤,32 54
649,志,32 55
650,际,32 55
651,芽,33 13 21
652,劳,33 23 32
653,苏,33 32 52
654,芹,33 41 13
655,花,33 42 42
656,苍,33 43 13
657,芬,33 43 14
658,芦,33 51 12
659,芳,33 51 44
660,杨,34 11 41
661,极,34 14 51
662,李,34 15
663,杆,34 15
664,杠,34 15
665,杏,34 24
666,束,34 24
667,材,34 31 41
668,村,34 31 51
669,杜,34 32
670,戒,34 33 51
671,钉,35 13
672,针,35 31
673,连,35 53
674,近,41 13 53
675,返,41 14 53
676,身,41 23 11
677,乱,41 24 21
678,皂,41 25 31
679,我,41 31 34
680,告,41 32 24
681,秀,41 34 14
682,利,41 34 21
683,私,41 34 43
684,秃,41 34 44
685,系,41 43 54
686,每,41 44 52
687,妥,41 53 44
688,佛,42 12 42
689,何,42 13 24
690,迎,42 13 53
691,兵,42 15 43
692,佣,42 23 31
693,但,42 25 11
694,伸,42 25 21
695,彻,42 31 14
696,估,42 31 24
697,体,42 34 11
698,作,42 41 13
699,伯,42 41 25
700,低,42 42 32
701,伶,42 43 14
702,役,42 44 14
703,你,42 44 54
704,卵,42 51 13
705,住,42 51 15
706,伴,42 52 31
707,位,42 55 11
708,纽,43 11 32
709,岔,43 14 22
710,邻,43 14 32
711,余,43 15 43
712,纳,43 23 43
713,纲,43 23 43
714,纯,43 31 22
715,希,43 32 23
716,纸,43 42 32
717,纷,43 43 14
718,谷,43 43 24
719,坐,43 43 32
720,纵,43 43 43
721,含,43 51 24
722,纹,43 51 43
723,纺,43 51 44
724,纱,43 54 41
725,努,44 14 32
726,饮,44 21 45
727,角,44 23 31
728,饭,44 41 14
729,妖,44 41 34
730,条,44 51 34
731,妨,44 51 44
732,妙,44 54 41
733,驱,45 13 43
734,狂,45 15
735,龟,45 31
736,犹,45 34 51
737,免,45 42
738,驳,45 43 43
739,驴,45 51 12
740,岛,45 51 22
741,亩,51 11 25
742,启,51 12 24
743,良,51 12 43
744,忘,51 13 55
745,床,51 14 34
746,库,51 14 35
747,应,51 14 53
748,间,51 23 25
749,闲,51 23 34
750,宋,51 23 34
751,牢,51 23 45
752,灾,51 23 54
753,闷,51 23 55
754,弃,51 43 33
755,这,51 43 53
756,词,52 11 24
757,弟,52 12 21
758,证,52 13 22
759,译,52 14 31
760,评,52 15 52
761,状,52 21 34
762,言,52 24
763,况,52 24 42
764,识,52 24 43
765,判,52 32 21
766,冻,52 32 54
767,诉,52 41 13
768,冷,52 43 14
769,冶,52 43 24
770,诊,52 43 41
771,汪,53 15
772,沈,53 23 42
773,沉,53 23 44
774,汽,53 41 11
775,沃,53 41 34
776,泛,53 41 53
777,没,53 44 14
778,沟,53 44 43
779,沙,53 54 41
780,快,54 12 43
781,怀,54 13 43
782,灿,54 22 21
783,灶,54 32
784,忧,54 34 51
785,疗,55 13
786,初,55 14
787,辛,55 15
788,补,55 21 51
789,社,55 32
790,画,11 25 22
791,武,11 32 22
792,青,11 32 23
793,奉,11 34 31
794,录,12 21 53
795,屈,12 22 22
796,刷,12 23 21
797,届,12 25 21
798,建,12 31 14
799,居,12 31 24
800,肃,12 31 42
801,隶,12 31 53
802,弦,12 51 43
803,房,12 51 44
804,顶,13 11 25
805,卧,13 12 21
806,雨,13 23 53
807,欧,13 43 45
808,艰,14 12 43
809,废,14 21 14
810,店,14 21 24
811,厕,14 25 21
812,府,14 42 31
813,底,14 42 32
814,玩,15 11 42
815,承,15 11 53
816,环,15 13 43
817,取,15 14
818,孟,15 23 21
819,现,15 25 42
820,孤,15 41 21
821,非,21 11 21
822,顷,21 11 25
823,肾,21 14 23
824,贤,21 14 25
825,肯,21 22 23
826,凯,22 12 44
827,岸,22 14 15
828,岩,22 21 35
829,些,22 42 11
830,岭,22 43 14
831,齿,22 43 22
832,叔,22 54 14
833,朋,23 11 23
834,肤,23 11 34
835,具,23 11 43
836,官,23 12 12
837,肥,23 12 21
838,服,23 13 14
839,闹,23 13 23
840,定,23 13 43
841,帖,23 21 24
842,肿,23 24 21
843,帜,23 24 43
844,肢,23 31 14
845,肺,23 31 23
846,周,23 32 24
847,胁,23 32 52
848,典,23 33 43
849,胀,23 41 31
850,空,23 43 15
851,帘,23 43 23
852,股,23 44 14
853,实,23 52 34
854,味,24 11 34
855,呢,24 12 42
856,国,24 15 51
857,忠,24 21 55
858,固,24 31 24
859,呼,24 41 52
860,咐,24 42 31
861,图,24 44 52
862,鸣,24 45 11
863,咏,24 51 53
864,畅,25 11 41
865,旺,25 15
866,昆,25 21 42
867,明,25 23 11
868,昌,25 25
869,果,25 34
870,贩,25 41 14
871,昂,25 42 13
872,败,25 43 45
873,罗,25 44
874,易,25 44 41
875,购,25 44 43
876,抹,31 11 34
877,妻,31 12 44
878,披,31 14 14
879,招,31 14 24
880,择,31 14 31
881,拨,31 21 14
882,直,31 23 11
883,拥,31 23 31
884,事,31 24 12
885,拐,31 24 32
886,担,31 25 11
887,押,31 25 21
888,抽,31 25 21
889,拔,31 32 14
890,势,31 32 32
891,拣,31 32 54
892,拢,31 34 41
893,拆,31 41 13
894,拍,31 41 25
895,拖,31 41 31
896,抵,31 42 32
897,抬,31 43 24
898,抱,31 44 12
899,拘,31 44 24
900,拦,31 52 11
901,拌,31 52 31
902,拉,31 55 11
903,限,32 12 43
904,坡,32 14 14
905,驾,32 24 45
906,坦,32 25 11
907,责,32 25 43
908,陕,32 34 52
909,者,32 41 25
910,表,32 42 43
911,降,32 44 13
912,幸,32 52 15
913,卖,32 52 34
914,丧,32 52 43
915,垃,32 55 11
916,其,33 11 43
917,茅,33 14 13
918,茎,33 14 15
919,苹,33 15 52
920,英,33 23 34
921,苗,33 25
922,苦,33 31 24
923,若,33 32 24
924,茄,33 32 24
925,茂,33 35 51
926,范,33 53 13
927,柜,34 13 12
928,奇,34 13 24
929,杯,34 13 43
930,刺,34 23 21
931,枕,34 23 42
932,枣,34 23 52
933,或,34 24 11
934,奋,34 25
935,规,34 25 42
936,枝,34 31 14
937,奔,34 31 33
938,林,34 34
939,析,34 41 13
940,板,34 41 14
941,枪,34 43 13
942,松,34 43 43
943,构,34 44 43
944,垄,34 51 32
945,述,34 51 53
946,态,34 51 55
947,杰,34 54
948,金,35
949,轰,35 14 14
950,知,35 24
951,转,35 31 51
952,斩,35 41 13
953,轮,35 43 42
954,钓,35 44 51
955,软,35 45
956,码,35 45 11
957,矿,35 51 14
958,所,41 12 41
959,欣,41 13 45
960,爬,41 21 12
961,乖,41 21 42
962,版,41 22 41
963,制,41 23 21
964,刮,41 24 21
965,的,41 25 44
966,迫,41 25 53
967,质,41 31 25
968,垂,41 33 32
969,季,41 34 15
970,秆,41 34 15
971,和,41 34 24
972,委,41 34 44
973,采,41 53 34
974,征,42 13 22
975,彼,42 14 14
976,径,42 14 15
977,侦,42 21 25
978,侧,42 25 21
979,昏,42 32 25
980,侍,42 32 31
981,佳,42 32 32
982,凭,42 32 44
983,供,42 33 43
984,使,42 34 24
985,侨,42 34 42
986,货,42 42 25
987,侄,42 43 32
988,佩,42 44 13
989,例,42 44 21
990,往,42 51 15
991,依,42 51 42
992,细,43 11 25
993,经,43 14 15
994,绍,43 14 24
995,贫,43 14 25
996,舍,43 15 24
997,组,43 23 11
998,命,43 24 13
999,织,43 24 43
1000,到,43 32 21
1001,练,43 32 54
1002,参,43 34 41
1003,线,43 34 51
1004,爸,43 43 12
1005,斧,43 43 41
1006,终,43 44 52
1007,贪,43 51 25
1008,念,43 51 55
1009,饲,44 11 24
1010,妹,44 11 34
1011,饰,44 13 23
1012,姐,44 23 11
1013,姑,44 31 24
1014,贯,44 31 25
1015,姓,44 41 32
1016,忽,44 41 55
1017,始,44 43 24
1018,饱,44 44 12
1019,备,44 51 25
1020,驼,45 23 42
1021,驶,45 24 43
1022,鱼,45 31 11
1023,虏,45 32
1024,狐,45 41 21
1025,兔,45 42 51
1026,虎,45 44
1027,狗,45 44 24
1028,物,45 44 41
1029,牧,45 45
1030,驻,45 51 15
1031,肩,51 12 23
1032,郎,51 12 32
1033,盲,51 13 25
1034,庙,51 14 25
1035,宝,51 23 15
1036,宜,51 23 23
1037,审,51 23 25
1038,宙,51 23 25
1039,闸,51 23 25
1040,宗,51 23 55
1041,享,51 24 15
1042,京,51 24 54
1043,剂,51 42 21
1044,夜,51 42 44
1045,刻,51 43 21
1046,育,51 43 23
1047,放,51 44 45
1048,变,51 54 14
1049,单,52 25 31
1050,试,52 32 15
1051,诗,52 32 31
1052,卷,52 34 13
1053,券,52 34 14
1054,郑,52 34 32
1055,诚,52 35 51
1056,话,52 41 24
1057,诞,52 42 14
1058,净,52 44 12
1059,询,52 44 25
1060,该,52 51 43
1061,详,52 52 15
1062,沫,53 11 34
1063,泥,53 12 42
1064,沸,53 12 42
1065,河,53 13 24
1066,波,53 14 14
1067,泽,53 14 31
1068,乳,53 15 21
1069,泼,53 21 14
1070,沾,53 21 24
1071,受,53 23 14
1072,学,53 23 15
1073,泻,53 23 21
1074,泪,53 25
1075,油,53 25 21
1076,法,53 32 43
1077,泄,53 33 21
1078,浅,53 34 51
1079,泊,53 41 25
1080,治,53 43 24
1081,泡,53 44 12
1082,沿,53 44 24
1083,注,53 51 15
1084,泳,53 51 53
1085,怪,54 14 32
1086,尚,54 23 24
1087,怖,54 32 23
1088,怕,54 41 25
1089,性,54 41 32
1090,怜,54 43 14
1091,炊,54 45
1092,炉,54 51 12
1093,炕,54 51 44
1094,炎,54 54
1095,炒,54 54 41
1096,视,55 25 42
1097,衬,55 31 51
1098,衫,55 41 41
1099,郊,55 43 32
1100,耐,11 23 31
1101,耍,11 23 44
1102,面,11 25 11
1103,春,11 34 25
1104,奏,11 34 34
1105,残,11 44 34
1106,既,12 13 42
1107,扁,12 23 33
1108,眉,12 41 25
1109,费,12 42 25
1110,昼,12 43 25
1111,屋,12 43 32
1112,垦,12 43 32
1113,退,12 43 53
1114,政,13 22 45
1115,要,13 24 44
1116,歪,13 43 13
1117,鸦,13 45 11
1118,柔,14 13 34
1119,盈,14 14 23
1120,勇,14 23 32
1121,厚,14 25 15
1122,厘,14 25 32
1123,庭,14 32 14
1124,度,14 33 14
1125,项,15 11 25
1126,玻,15 14 14
1127,卸,15 22 13
1128,缸,15 22 15
1129,珍,15 43 41
1130,孩,15 51 43
1131,竖,21 14 55
1132,战,21 24 34
1133,点,21 24 54
1134,临,21 33 25
1135,览,21 33 25
1136,背,21 42 23
1137,皆,21 42 25
1138,炭,22 32 54
1139,峡,22 34 52
1140,宣,23 11 25
1141,冠,23 11 31
1142,骨,23 23 23
1143,宫,23 24 24
1144,胆,23 25 11
1145,窃,23 31 14
1146,宪,23 32 42
1147,胜,23 41 32
1148,阀,23 42 34
1149,穿,23 43 13
1150,室,23 43 32
1151,突,23 43 34
1152,胞,23 44 12
1153,客,23 44 24
1154,阁,23 44 24
1155,脉,23 51 53
1156,胖,23 52 31
1157,哪,24 14 32
1158,哑,24 15 52
1159,贵,24 22 25
1160,趴,24 22 43
1161,响,24 23 24
1162,品,24 24 24
1163,咽,24 24 34
1164,骂,24 24 45
1165,哄,24 33 43
1166,咱,24 41 25
1167,哗,24 42 31
1168,哈,24 43 24
1169,虽,24 45
1170,咳,24 51 43
1171,咬,24 55 43
1172,畏,25 13 43
1173,是,25 13 43
1174,贴,25 21 24
1175,胃,25 23 11
1176,映,25 23 34
1177,冒,25 25
1178,昨,25 41 13
1179,星,25 41 32
1180,眨,25 41 53
1181,鬼,25 42 43
1182,盼,25 43 14
1183,贱,25 43 34
1184,界,25 43 42
1185,罚,25 52 21
1186,显,25 54 11
1187,思,25 55
1188,挪,31 14 32
1189,挖,31 23 11
1190,挥,31 23 35
1191,按,31 23 44
1192,南,31 23 52
1193,胡,31 24 23
1194,故,31 24 45
1195,挺,31 32 14
1196,持,31 32 31
1197,挂,31 32 32
1198,垫,31 32 32
1199,挎,31 34 13
1200,挠,31 34 42
1201,括,31 41 24
1202,指,31 42 25
1203,挑,31 42 53
1204,拴,31 43 15
1205,拾,31 43 24
1206,挣,31 44 12
1207,挤,31 51 42
1208,拼,31 52 33
1209,挡,31 54 12
1210,院,32 23 11
1211,贺,32 24 25
1212,架,32 24 34
1213,陡,32 32 21
1214,帮,32 32 23
1215,封,32 32 31
1216,垮,32 34 13
1217,城,32 35 51
1218,选,32 42 53
1219,除,32 43 15
1220,赴,32 43 21
1221,赵,32 43 43
1222,险,32 43 53
1223,毒,32 44 52
1224,某,33 11 34
1225,荒,33 13 42
1226,甚,33 13 43
1227,竿,33 15
1228,型,33 21 32
1229,带,33 23 23
1230,荣,33 23 34
1231,革,33 24 31
1232,草,33 25 31
1233,荐,33 32 15
1234,巷,33 43 12
1235,茶,33 43 34
1236,药,33 43 44
1237,茧,33 45
1238,荡,33 53 11
1239,茫,33 53 13
1240,柿,34 13 23
1241,树,34 14 31
1242,柄,34 23 43
1243,牵,34 23 45
1244,相,34 25
1245,查,34 25 11
1246,枯,34 31 24
1247,栋,34 32 54
1248,柏,34 41 25
1249,柳,34 42 13
1250,柱,34 51 15
1251,栏,34 52 11
1252,科,34 52 31
1253,标,34 55
1254,研,35 11 33
1255,矩,35 13 12
1256,轻,35 14 15
1257,钥,35 23 11
1258,钢,35 23 43
1259,钟,35 24 21
1260,咸,35 24 51
1261,砌,35 31 14
1262,砖,35 31 51
1263,类,35 34
1264,钩,35 44 43
1265,威,35 44 51
1266,砍,35 45
1267,迷,35 53
1268,钞,35 54 41
1269,须,41 11 25
1270,怎,41 13 55
1271,适,41 24 53
1272,皇,41 25 15
1273,重,41 25 32
1274,复,41 25 44
1275,泉,41 25 53
1276,盾,41 31 25
1277,拜,41 32 15
1278,看,41 32 25
1279,种,41 34 24
1280,香,41 34 25
1281,秋,41 34 54
1282,秒,41 34 54
1283,顺,42 11 25
1284,段,42 11 44
1285,侵,42 12 23
1286,律,42 12 31
1287,很,42 12 43
1288,追,42 12 53
1289,贸,42 14 25
1290,俩,42 23 43
1291,促,42 24 21
1292,保,42 24 34
1293,便,42 25 43
1294,贷,42 32 25
1295,待,42 32 31
1296,侮,42 41 44
1297,俗,42 43 24
1298,俊,42 43 44
1299,俭,42 43 53
1300,修,42 44 41
1301,信,42 52 24
1302,俘,42 53 15
1303,逃,42 53 53
1304,食,43 12 43
1305,盆,43 14 23
1306,叙,43 15 14
1307,怠,43 24 55
1308,结,43 32 24
1309,绑,43 32 32
1310,绒,43 34 32
1311,绕,43 34 42
1312,绘,43 43 11
1313,给,43 43 24
1314,垒,43 43 32
1315,绝,43 44 12
1316,络,43 44 24
1317,统,43 51 42
1318,剑,43 53 21
1319,绞,43 55 43
1320,急,44 12 55
1321,怨,44 13 55
1322,怒,44 14 55
1323,蚀,44 21 45
1324,殃,44 23 34
1325,姻,44 24 34
1326,娃,44 32 32
1327,姥,44 32 42
1328,姨,44 34 12
1329,娇,44 34 42
1330,饶,44 34 42
1331,饼,44 52 33
1332,饺,44 55 43
1333,狠,45 12 43
1334,虾,45 13 51
1335,虹,45 15
1336,狮,45 21 13
1337,骄,45 34 42
1338,狭,45 34 52
1339,牲,45 41 32
1340,勉,45 42 32
1341,骆,45 44 24
1342,独,45 45
1343,蚂,45 45 11
1344,蚁,45 51 43
1345,狱,45 52 34
1346,狡,45 55 43
1347,闻,51 23 15
1348,亭,51 24 23
1349,亮,51 24 23
1350,哀,51 24 42
1351,施,51 41 31
1352,弯,51 54 12
1353,迹,51 54 53
1354,首,52 11 25
1355,剃,52 12 21
1356,语,52 13 24
