,Component,Strokes,CompositionType,LeftComponent,LeftStrokes,RightComponent,RightStrokes,Signature,Notes,Section
12101,組,11,吅,糹,6,且,5,VFBM,/,糸
12102,絅,11,吅,糹,6,冋,5,VFBR,/,糸
12103,絆,11,吅,糹,6,半,5,VFFQ,/,糸
12110,絍,12,吅,糹,6,任,6,VFOHG,/,糸
12112,絏,12,吅,糹,6,曳,6,VFLWP,/,糸
12113,結,12,吅,糹,6,吉,6,VFGR,/,糸
12115,絒,12,吅,糹,6,州,6,VFILL,/,糸
12116,絓,12,吅,糹,6,圭,6,VFGG,/,糸
12118,絕,12,吅,糸,6,力巴,6,VFSHU,/?,糸
12122,絙,12,吅,糹,6,亘,6,VFMAM,/,糸
12124,絛,13,回,攸,7,糸,6,OLOF,?/,糸
12125,絜,12,吕,㓞,6,糸,6,QHVIF,/,糸
12127,絞,12,吅,糹,6,交,6,VFYCK,/,糸
12128,絟,12,吅,糹,6,全,6,VFOMG,/,糸
12130,絡,12,吅,糹,6,各,6,VFHER,/,糸
12132,絣,12,吅,糹,6,并,6,VFTT,/,糸
12135,給,12,吅,糹,6,合,6,VFOMR,/,糸
12137,絨,12,吅,糹,6,戎,6,VFIJ,/,糸
12139,絪,12,吅,糹,6,因,6,VFWK,/,糸
12140,絫,12,吕,厽,6,糸,6,IIIF,/,糸
12142,絭,12,吕,龹,6,糸,6,FQVIF,/,糸
12143,絮,12,吕,如,6,糸,6,VRVIF,/,糸
12146,統,12,吅,糹,6,充,6,VFYIU,/,糸
12147,絲,12,吅,糹,6,*,6,VFVIF,/,糸
12148,絳,12,吅,糸,6,夅,6,VFHEQ,/,糸
12151,絶,12,吅,糹,6,色,6,VFNAU,/,糸
12152,絷,12,吕,执,6,糸,6,QIVIF,/,糸
12154,絹,13,吅,糹,6,肙,7,VFRB,/,糸
12155,絺,13,吅,糹,6,希,7,VFKKB,/,糸
12157,絼,13,吅,糹,6,豸,7,VFBSH,/,糸
12158,絽,13,吅,糹,6,呂,7,VFRHR,/,糸
12159,絾,12,吅,糹,6,成,6,VFIHS,/,糸
12160,絿,13,吅,糹,6,求,7,VFIJE,/,糸
12161,綀,13,吅,糹,6,束,7,VFDL,/,糸
12163,綂,13,吅,糸,6,𠑽,7,VFYRU,/,糸
12165,綄,13,吅,糹,6,完,7,VFJMU,/,糸
12166,綅,13,吅,糸,6,𠬶,7,VFSME,/,糸
12169,綈,13,吅,糹,6,弟,7,VFCNH,/,糸
12171,綊,14,吅,糹,6,夾,8,VFKOO,/,糸
12174,綍,13,吅,糹,6,孛,7,VFJBD,/,糸
12175,綎,13,吅,糹,6,廷,7,VFNKG,/,糸
12176,綏,13,吅,糹,6,妥,7,VFBV,/,糸
12178,綑,13,吅,糹,6,困,7,VFWD,/,糸
12179,綒,13,吅,糹,6,孚,7,VFBND,/,糸
12180,經,13,吅,糹,6,巠,7,VFMVM,/,糸
12181,綔,13,吅,夸,6,系,7,KSHVF,/,糸
12183,綖,14,吅,糹,6,延,8,VFNKM,/,糸
12184,綗,13,吅,糹,6,冏,7,VFBCR,/,糸
12189,綜,14,吅,糹,6,宗,8,VFJMF,/,糸
12190,綝,14,吅,糹,6,林,8,VFDD,/,糸
12192,綟,13,吅,糹,6,戻,7,VFHSK,/,糸
12193,綠,14,吅,糹,6,彔,8,VFVNE,/,糸
12194,綡,14,吅,糹,6,京,8,VFYRF,/,糸
12199,綦,14,吕,其,8,糸,6,TCVIF,/,糸
12206,維,14,吅,糹,6,隹,8,VFOG,/,糸
12207,綮,14,吕,𢼄,8,糸,6,IKVIF,?/,糸
12210,綱,14,吅,糹,6,岡,8,VFBTU,/,糸
12211,網,14,吅,糹,6,罔,8,VFBTV,/,糸
12213,綴,14,吅,糹,6,叕,8,VFEEE,/,糸
12214,綵,14,吅,糹,6,采,8,VFBD,/,糸
12215,綶,15,吅,糹,6,果,9,VFWD,/,糸
12218,綹,14,吅,糹,6,咎,8,VFHOR,/,糸
12221,綼,14,吅,糹,6,卑,8,VFHWJ,/,糸
12224,綿,14,吅,糹,6,帛,8,VFHAB,/,糸
12229,緄,14,吅,糹,6,昆,8,VFAPP,/,糸
12230,緅,14,吅,糹,6,取,8,VFSJE,/,糸
12235,緊,14,吕,臤,8,糸,6,SEVIF,/,糸
12236,緋,14,吅,糹,6,非,8,VFLMY,/,糸
12237,緌,14,吅,糹,6,委,8,VFHDV,/,糸
12238,緍,14,吅,糹,6,昏,8,VFHPA,/,糸
12241,緐,14,吅,每,7,系,7,OYHVF,/,糸
12243,緒,14,吅,糹,6,者,8,VFJKA,/,糸
12248,緗,15,吅,糹,6,相,9,VFDBU,/,糸
12251,線,15,吅,糹,6,泉,9,VFHAE,/,糸
12252,緛,15,吅,糹,6,耎,9,VFMBK,/,糸
12253,緜,15,吅,白巾,8,系,7,HBHVF,?/,糸
12254,緝,15,吅,糹,6,咠,9,VFRSJ,/,糸
12255,緞,15,吅,糹,6,段,9,VFHJE,/,糸
12257,締,15,吅,糹,6,帝,9,VFYBB,/,糸
12258,緡,15,吅,糹,6,昬,9,VFRPA,/,糸
12260,緣,15,吅,糹,6,彖,9,VFVNO,/,糸
12261,緤,14,吅,糹,6,枼,8,VFPTD,/,糸
12263,緦,15,吅,糹,6,思,9,VFWP,/,糸
12265,編,15,吅,糹,6,扁,9,VFHSB,/,糸
12266,緩,15,吅,糸,6,爰,9,VFBME,/,糸
12272,緯,15,吅,糹,6,韋,9,VFDMQ,/,糸
12273,緰,15,吅,糹,6,俞,9,VFOMN,/,糸
12274,緱,15,吅,糹,6,侯,9,VFONK,/,糸
12275,緲,15,吅,糹,6,眇,9,VFBUH,/,糸
12277,練,14,吅,糹,6,東,8,VFDWF,/,糸
12278,緵,15,吅,糸,6,㚇,9,VFUCE,/,糸
12279,緶,15,吅,糹,6,便,9,VFOMK,/,糸
12280,緷,15,吅,糹,6,軍,9,VFBJJ,/,糸
12282,緹,15,吅,糹,6,是,9,VFAMO,/,糸
12283,緺,15,吅,糹,6,咼,9,VFBBR,/,糸
12284,緻,16,吅,糹,6,致,10,VFMGK,/,糸
12285,緼,15,吅,糹,6,昷,9,VFABT,/,糸
12289,縀,15,吅,糹,6,叚,9,VFRSE,/,糸
12290,縁,15,吅,糸,6,彖,9,VFNMO,/,糸
12291,縂,15,吅,糹,6,总,9,VFCRP,/,糸
12295,縆,15,吅,糹,6,恒,9,VFPMM,/,糸
12297,縈,16,冖,炏,8,糸,6,FFBVF,/,糸
12300,縋,15,吅,糹,6,追,9,VFYHR,/,糸
12310,縕,16,吅,糸,6,𥁕,10,VFWOT,/,糸
12315,縚,16,吅,糹,6,舀,10,VFBHX,/,糸
12316,縛,16,吅,糹,6,尃,10,VFIBI,/,糸
12317,縜,16,吅,糹,6,員,10,VFRBC,/,糸
12319,縞,16,吅,糹,6,高,10,VFYRB,/,糸
12321,縠,16,回,𣪊,12,糸,4,GFHNE,?/,糸
12322,縡,16,吅,糹,6,宰,10,VFJYJ,/,糸
12323,縢,16,吅,月,4,絭,12,BFQF,/,糸
12324,縣,16,吅,県,9,系,7,BFHVF,/,糸
12328,縧,17,吅,糹,6,條,11,VFOLD,/,糸
12330,縩,17,吅,糹,6,祭,11,VFBOF,/,糸
12331,縪,17,吅,糹,6,畢,11,VFWTJ,/,糸
12332,縫,16,吅,糸,6,逢,10,VFYHJ,/,糸
12335,縮,17,吅,糹,6,宿,11,VFJOA,/,糸
12336,縯,17,吅,糹,6,寅,11,VFJMC,/,糸
12338,縱,17,吅,糹,6,從,11,VFHOO,/,糸
12344,縷,17,吅,糹,6,婁,11,VFLLV,/,糸
12346,縹,17,吅,糹,6,票,11,VFMWF,/,糸
12348,縻,17,吕,麻,11,糸,6,IDVIF,/,糸
12349,縼,17,吅,糹,6,旋,11,VFYSO,/,糸
12350,總,17,吅,糹,6,悤,11,VFHWP,/,糸
12351,績,17,吅,糹,6,責,11,VFQMC,/,糸
12352,縿,17,吅,糹,6,參,11,VFIIH,/,糸
12353,繀,17,吅,糹,6,崔,11,VFUOG,/,糸
12354,繁,17,吕,敏,11,糸,6,OKVIF,/,糸
12355,繂,17,吅,糹,6,率,11,VFYIJ,/,糸
12356,繃,17,吅,糹,6,崩,11,VFUBB,/,糸
12359,繆,17,吅,糹,6,翏,11,VFSMH,/,糸
12360,繇,17,吅,䍃,10,系,7,BUHVF,?/,糸
12362,繉,17,吅,糸,6,目兆,11,VFBUO,/?,糸
12364,繋,19,吕,軗,13,糸,6,JEVIF,/,糸
12365,繌,17,吅,糸,6,<夓,11,VFHCE,/?,糸
12369,繐,18,吅,糹,6,惠,12,VFJIP,/,糸
12370,繑,18,吅,糹,6,喬,12,VFHKB,/,糸
12371,繒,18,吅,糹,6,曾,12,VFCWA,/,糸
12373,織,19,吅,糸,6,戠,13,VFYIA,/,糸
12374,繕,18,吅,糹,6,善,12,VFTGR,/,糸
12375,繖,18,吅,糹,6,散,12,VFTBK,/,糸
12378,繙,18,吅,糹,6,番,12,VFHDW,/,糸
12379,繚,18,吅,糸,6,尞,12,VFKCF,/,糸
12381,繜,18,吅,糹,6,尊,12,VFTWI,/,糸
12382,繝,18,吅,糹,6,閒,12,VFANB,/,糸
12383,繞,18,吅,糹,6,堯,12,VFGGU,/,糸
12384,繟,18,吅,糹,6,單,12,VFRRJ,/,糸
12388,繣,18,吅,糹,6,畫,12,VFLGM,/,糸
12389,繤,18,吕,莫,12,糸,6,TAKF,?/,糸
12392,繧,18,吅,糹,6,雲,12,VFMBI,/,糸
12393,繨,19,吅,糹,6,達,13,VFYGQ,/,糸
12394,繩,19,吅,糹,6,黽,13,VFRXU,/,糸
12396,繫,19,吕,𣪠,13,糸,6,JEVIF,/,糸
12397,繬,19,吅,糹,6,嗇,13,VFGOW,/,糸
12400,繯,19,吅,糹,6,睘,13,VFWLV,/,糸
12404,繳,19,吅,糹,6,敫,13,VFHSK,/,糸
12405,繴,19,吕,辟,13,糸,6,SJVIF,/,糸
12409,繸,18,吅,糹,6,遂,12,VFYTO,/,糸
12411,繺,19,吅,糹,6,煞,13,VFNKF,/,糸
12412,繻,20,吅,糹,6,需,14,VFMBB,/,糸
12413,繼,20,吅,糹,6,㡭,14,VFVVI,/,糸
12416,繿,20,吅,糹,6,監,14,VFSIT,/,糸
12417,纀,20,吅,糹,6,僕,14,VFOTO,/,糸
12418,纁,20,吅,糹,6,熏,14,VFHGF,/,糸
12419,纂,20,吕,算,14,糸,6,HBUF,?/,糸
12420,纃,20,吅,糹,6,齊,14,VFYX,/,糸
12421,纄,21,吅,糹,6,蓬,15,VFTYJ,/#REF!,糸
12426,纉,21,吅,糹,6,賛,15,VFQOC,/,糸
12429,續,21,吅,糹,6,賣,15,VFGWC,/,糸
12430,纍,21,吕,畾,15,糸,6,WWWF,/,糸
12432,纏,21,吅,糹,6,廛,15,VFIWG,/,糸
12434,纑,22,吅,糹,6,盧,16,VFYPT,/,糸
12435,纒,22,吅,糸,6,㕓,16,VFIWG,/,糸
12437,纔,23,吅,糹,6,毚,17,VFNRI,/,糸
12438,纕,23,吅,糹,6,襄,17,VFYRV,/,糸
12439,纖,23,吅,糹,6,韱,17,VFOIM,/,糸
12440,纗,24,吅,糹,6,巂,18,VFUOB,/,糸
12441,纘,25,吅,糹,6,贊,19,VFHUC,/,糸
12444,纛,24,吕,毒,8,縣,16,QMWYF,/,糸
12449,纠,5,吅,纟,3,丩,2,VMVL,/,糸
12450,纡,6,吅,纟,3,于,3,VMMD,/,糸
12451,红,6,吅,纟,3,工,3,VMM,/,糸
12452,纣,6,吅,纟,3,寸,3,VMDI,/,糸
12453,纤,6,吅,纟,3,千,3,VMHJ,/,糸
12454,纥,6,吅,纟,3,乞,3,VMON,/,糸
12455,约,6,吅,纟,3,勺,3,VMPI,/,糸
12456,级,6,吅,纟,3,及,3,VMNHE,/,糸
12457,纨,6,吅,纟,3,丸,3,VMKNI,/,糸
12458,纩,6,吅,纟,3,广,3,VMI,/,糸
12459,纪,6,吅,纟,3,己,3,VMSU,/,糸
12460,纫,6,吅,纟,3,刃,3,VMSHI,/,糸
12461,纬,7,吅,纟,3,韦,4,VMQS,/,糸
12462,纭,7,吅,纟,3,云,4,VMMMI,/,糸
12463,纮,7,吅,纟,3,厷,4,VMKI,/,糸
12464,纯,7,吅,纟,3,屯,4,VMPU,/,糸
12465,纰,7,吅,纟,3,比,4,VMPP,/,糸
12466,纱,7,吅,纟,3,少,4,VMFH,/,糸
12467,纲,7,吅,纟,3,冈,4,VMBK,/,糸
12468,纳,7,吅,纟,3,内,4,VMOB,/,糸
12469,纴,7,吅,纟,3,壬,4,VMHG,/,糸
12470,纵,7,吅,纟,3,从,4,VMOO,/,糸
12471,纶,7,吅,纟,3,仑,4,VMOP,/,糸
12472,纷,7,吅,纟,3,分,4,VMCSH,/,糸
12473,纸,7,吅,纟,3,氏,4,VMHVP,/,糸
12474,纹,7,吅,纟,3,文,4,VMYK,/,糸
12475,纺,7,吅,纟,3,方,4,VMYHS,/,糸
12476,纻,7,吅,纟,3,㝉,4,VMJM,/,糸
12478,纽,7,吅,纟,3,丑,4,VMNG,/,糸
12479,纾,7,吅,纟,3,予,4,VMNIN,/,糸
12480,线,8,吅,纟,3,戋,5,VMIJ,/,糸
12481,绀,8,吅,纟,3,甘,5,VMTM,/,糸
12482,绁,7,吅,纟,3,世,4,VMPT,/,糸
12483,绂,8,吅,纟,3,犮,5,VMIKE,/,糸
12484,练,8,吅,纟,3,𫠣,5,VMKVC,/,糸
12485,组,8,吅,纟,3,且,5,VMBM,/,糸
12486,绅,8,吅,纟,3,申,5,VMLWL,/,糸
12487,细,8,吅,纟,3,田,5,VMW,/,糸
12488,织,8,吅,纟,3,只,5,VMRC,/,糸
12489,终,8,吅,纟,3,冬,5,VMHEY,/,糸
12490,绉,8,吅,纟,3,刍,5,VMNSM,/,糸
12491,绊,8,吅,纟,3,半,5,VMFQ,/,糸
12492,绋,8,吅,纟,3,弗,5,VMLLN,/,糸
12493,绌,8,吅,纟,3,出,5,VMUU,/,糸
12494,绍,8,吅,纟,3,召,5,VMSHR,/,糸
12495,绎,8,吅,纟,3,𠬤,5,VMEQ,/,糸
12496,经,8,吅,纟,3,𢀖,5,VMNOM,/,糸
12497,绐,8,吅,纟,3,台,5,VMIR,/,糸
12498,绑,10,吅,纟,3,邦,7,VMQJL,/,糸
12499,绒,9,吅,纟,3,戎,6,VMIJ,/,糸
12500,结,9,吅,纟,3,吉,6,VMGR,/,糸
12501,绔,9,吅,纟,3,夸,6,VMKMS,/,糸
12502,绕,9,吅,纟,3,尧,6,VMJPU,/,糸
12503,绖,9,吅,纟,3,至,6,VMMIG,/,糸
12504,绗,9,吅,纟,3,行,6,VMHON,/,糸
12505,绘,9,吅,纟,3,会,6,VMOMI,/,糸
12506,给,9,吅,纟,3,合,6,VMOMR,/,糸
12507,绚,9,吅,纟,3,旬,6,VMPA,/,糸
12508,绛,9,吅,纟,3,夅,6,VMHEQ,/,糸
12509,络,9,吅,纟,3,各,6,VMHER,/,糸
12510,绝,9,吅,纟,3,色,6,VMNAU,/,糸
12511,绞,9,吅,纟,3,交,6,VMYCK,/,糸
12512,统,9,吅,纟,3,充,6,VMYIU,/,糸
12513,绠,10,吅,纟,3,更,7,VMMLK,/,糸
12514,绡,10,吅,纟,3,肖,7,VMFB,/,糸
12515,绢,10,吅,纟,3,肙,7,VMRB,/,糸
12516,绣,10,吅,纟,3,秀,7,VMHDS,/,糸
12517,绤,10,吅,纟,3,谷,7,VMCOR,/,糸
12518,绥,10,吅,纟,3,妥,7,VMBV,/,糸
12519,绦,10,吅,纟,3,条,7,VMHED,/,糸
12520,继,10,吅,纟,3,乚米,7,VMVFD,/?,糸
12521,绨,10,吅,纟,3,弟,7,VMCNH,/,糸
12522,绩,11,吅,纟,3,责,8,VMQMO,/,糸
12523,绪,11,吅,纟,3,者,8,VMJKA,/,糸
12524,绫,11,吅,纟,3,夌,8,VMGCE,/,糸
12526,续,11,吅,纟,3,卖,8,VMJNK,/,糸
12527,绮,11,吅,纟,3,奇,8,VMKMR,/,糸
12528,绯,11,吅,纟,3,非,8,VMLMY,/,糸
12529,绰,11,吅,纟,3,卓,8,VMYAJ,/,糸
12530,绱,11,吅,纟,3,尚,8,VMFBR,/,糸
12531,绲,11,吅,纟,3,昆,8,VMAPP,/,糸
12532,绳,11,吅,纟,3,黾,8,VMRLU,/,糸
12533,维,11,吅,纟,3,隹,8,VMOG,/,糸
12534,绵,11,吅,纟,3,帛,8,VMHAB,/,糸
12535,绶,11,吅,纟,3,受,8,VMBBE,/,糸
12536,绷,11,吅,纟,3,朋,8,VMBB,/,糸
12537,绸,11,吅,纟,3,周,8,VMBGR,/,糸
12538,绹,11,吅,纟,3,匋,8,VMPOU,/,糸
12539,绺,11,吅,纟,3,咎,8,VMHYR,/,糸
12540,绻,11,吅,纟,3,卷,8,VMFQU,/,糸
12541,综,11,吅,纟,3,宗,8,VMJMF,/,糸
12542,绽,11,吅,纟,3,定,8,VMJMO,/,糸
12543,绾,11,吅,纟,3,官,8,VMJRR,/,糸
12544,绿,11,吅,纟,3,录,8,VMNME,/,糸
12545,缀,11,吅,纟,3,叕,8,VMEEE,/,糸
12546,缁,11,吅,纟,3,甾,8,VMVVW,/,糸
12547,缂,11,吅,纟,3,革,8,VMTLJ,/,糸
12548,缃,12,吅,纟,3,相,9,VMDBU,/,糸
12549,缄,12,吅,纟,3,咸,9,VMIHR,/,糸
12550,缅,12,吅,纟,3,面,9,VMMWL,/,糸
12551,缆,12,吅,纟,3,览,9,VMLIU,/,糸
12552,缇,12,吅,纟,3,是,9,VMAMO,/,糸
12553,缈,12,吅,纟,3,眇,9,VMBUH,/,糸
12554,缉,12,吅,纟,3,咠,9,VMRSJ,/,糸
12555,缊,12,吅,纟,3,昷,9,VMABT,/,糸
12556,缋,12,吅,纟,3,贵,9,VMLMO,/,糸
12557,缌,12,吅,纟,3,思,9,VMWP,/,糸
12558,缍,11,吅,纟,3,垂,8,VMHJM,/,糸
12559,缎,12,吅,纟,3,段,9,VMHJE,/,糸
12560,缏,12,吅,纟,3,便,9,VMOMK,/,糸
12562,缑,12,吅,纟,3,侯,9,VMONK,/,糸
12563,缒,12,吅,纟,3,追,9,VMYHR,/,糸
12564,缓,12,吅,纟,3,爰,9,VMBME,/,糸
12565,缔,12,吅,纟,3,帝,9,VMYBB,/,糸
12566,缕,12,吅,纟,3,娄,9,VMFDV,/,糸
12567,编,12,吅,纟,3,扁,9,VMISB,/,糸
12568,缗,12,吅,纟,3,昬,9,VMRPA,/,糸
12569,缘,12,吅,纟,3,彖,9,VMVNO,/,糸
12570,缙,13,吅,纟,3,晋,10,VMMCA,/,糸
12571,缚,13,吅,纟,3,尃,10,VMIBI,/,糸
12572,缛,13,吅,纟,3,辱,10,VMMVI,/,糸
12573,缜,13,吅,纟,3,真,10,VMJBC,/,糸
12574,缝,13,吅,纟,3,逢,10,VMYHJ,/,糸
12575,缞,13,吅,纟,3,衰,10,VMYWV,/,糸
12576,缟,13,吅,纟,3,高,10,VMYRB,/,糸
12577,缠,13,吅,纟,3,㢆,10,VMIWG,/,糸
12578,缡,14,吅,纟,3,离,11,VMYUB,/,糸
12579,缢,13,吅,纟,3,益,10,VMTCT,/,糸
12580,缣,13,吅,纟,3,兼,10,VMTXC,/,糸
12581,缤,13,吅,纟,3,宾,10,VMJOC,/,糸
12582,缥,14,吅,纟,3,票,11,VMMWF,/,糸
12583,缦,14,吅,纟,3,曼,11,VMAWE,/,糸
12584,缧,14,吅,纟,3,累,11,VMWVF,/,糸
12585,缨,14,吅,纟,3,婴,11,VMBOV,/,糸
12586,缩,14,吅,纟,3,宿,11,VMJOA,/,糸
12587,缪,14,吅,纟,3,翏,11,VMSMH,/,糸
12588,缫,15,吅,纟,3,巢,12,VMVVD,/,糸
12589,缬,15,吅,纟,3,颉,12,VMGRO,/,糸
12590,缭,15,吅,纟,3,尞,12,VMKCF,/,糸
12591,缮,15,吅,纟,3,善,12,VMTTR,/,糸
12592,缯,15,吅,纟,3,曾,12,VMCWA,/,糸
12593,缰,16,吅,纟,3,畺,13,VMMWM,/,糸
12594,缱,16,吅,纟,3,遣,13,VMYLR,/,糸
12595,缲,16,吅,纟,3,喿,13,VMRRD,/,糸
12596,缳,16,吅,纟,3,睘,13,VMWLV,/,糸
12597,缴,16,吅,纟,3,敫,13,VMHSK,/,糸
12598,缵,19,吅,纟,3,赞,16,VMHUO,/,糸
12599,缶,6,一,缶,6,*,0,OJU,/,*
12600,缷,8,吅,缶,6,卩,2,OUSL,/,缶
12601,缸,9,吅,缶,6,工,3,OUM,/,缶
12603,缺,10,吅,缶,6,夬,4,OUDK,/,缶
12604,缻,11,吅,缶,6,瓦,5,OUMVN,/,缶
12606,缽,11,吅,缶,6,本,5,OUDM,/,缶
12607,缾,12,吅,缶,6,并,6,OUTT,/,缶
12610,罁,14,吅,缶,6,岡,8,OUBTU,/,缶
12611,罂,14,咒,贝,4,缶,6,BOOJU,/,缶
12612,罃,16,冖,炏,8,缶,6,FFBOU,/,缶
12613,罄,17,吕,殸,11,缶,6,GEOJU,/,缶
12614,罅,17,吅,缶,6,虖,11,OUYPD,/,缶
12615,罆,17,吅,缶,6,貫,11,OUWJC,/,缶
12616,罇,18,吅,缶,6,尊,12,OUTWI,/,缶
12617,罈,18,吅,缶,6,覃,12,OUMWJ,/,缶
12620,罋,19,吕,雍,13,缶,6,YVGU,/,缶
12622,罍,21,吕,畾,15,缶,6,WWWU,/,缶
12625,罐,23,吅,缶,6,雚,17,OUTRG,/,缶
12626,网,6,一,网,6,*,0,BKK,/,*
12629,罔,8,回,网*,5,亡,3,BTYV,?/,网
12630,罕,8,吕,⺳,5,干,3,BCMJ,/,网
12632,罗,8,吕,罒,5,夕,3,WLNI,/,网
12633,罘,9,吕,罒,5,不,4,WLMF,/,网
12634,罙,8,吕,⺳,4,木,4,BCD,/,网
12635,罚,9,吕,罒,5,䚯,4,WLIVN,/,网
12638,罝,10,吕,罒,5,且,5,WLBM,/,网
12640,罟,10,吕,罒,5,古,5,WLJR,/,网
12642,罡,10,吕,罒,5,正,5,WLMYM,/,网
12643,罢,10,吕,罒,5,去,5,WLGI,/,网
12644,罣,11,吕,罒,5,圭,6,WLGG,/,网
12646,罥,12,吕,罒,5,肙,7,WLRB,/,网
12649,罨,13,吕,罒,5,奄,8,WLKLU,/,网
12650,罩,13,吕,罒,5,卓,8,WLYAJ,/,网
12651,罪,13,吕,罒,5,非,8,WLLMY,/,网
12655,置,13,吕,罒,5,直,8,WLJBM,/,网
12656,罯,14,吕,罒,5,音,9,WLYTA,/,网
12657,罰,14,吕,罒,5,䚯,9,WLYRN,/,网
12658,罱,14,吕,罒,5,南,9,WLJBJ,/,网
12659,署,13,吕,罒,5,者,8,WLJKA,/,网
12661,罴,14,吕,罢,10,灬,4,WLGIF,/,网
12662,罵,15,吕,罒,5,馬,10,WLSQF,/,网
12663,罶,15,吕,罒,5,留,10,WLHHW,/,网
12664,罷,15,吕,罒,5,能,10,WLIBP,/,网
12666,罹,16,吕,罒,5,惟,11,WLPOG,/,网
12669,罼,16,吕,罒,5,畢,11,WLWTJ,/,网
12670,罽,17,吕,罒,5,,12,WLMFN,/?,网
12671,罾,17,吕,罒,5,曾,12,WLCWA,/,网
12673,羀,18,吕,网,6,畱,12,BKMLW,/,网
12674,羁,17,吕,罒,5,革马,12,WLTJM,/?,网
12678,羅,19,吕,罒,5,維,14,WLVFG,/,网
12680,羇,22,吕,罒,5,䩭,17,WLTJR,/,网
12681,羈,24,吕,罒,5,䩻,19,WLTJF,/,网
12682,羉,24,吕,罒,5,䜌,19,WLVFF,/,网
12683,羊,6,一,羊,6,*,0,TQ,/,*
12685,羌,8,吕,羊,6,儿,2,TQU,/,羊
12687,美,9,吕,𦍌,6,大,3,TGK,?/,羊
12690,羑,9,吕,羊,6,久,3,TGNO,/,羊
12693,羔,10,吕,𦍌,6,灬,4,TGF,?/,羊
12694,羕,11,吕,𦍌,6,永,5,TGINE,?/,羊
12696,羗,10,+,羌,8,厶,2,TUI,/,羊
12698,羙,10,吕,𦍌,6,火,4,TGF,?/,羊
12699,羚,11,吅,羊,6,令,5,TQOII,/,羊
12701,羜,11,吅,羊,6,宁,5,TQJMN,/,羊
12702,羝,11,吅,羊,6,氐,5,TQHVI,/,羊
12703,羞,11,吕,羊,6,丑,4,TQNG,/,羊
12704,羟,11,吅,羊,6,𢀖,5,TQNOM,/,羊
12705,羠,12,吅,羊,6,夷,6,TQKN,/,羊
12706,羡,12,吕,羊,6,次,6,TGIMO,/,羊
12709,群,13,吅,君,7,羊,6,SRTQ,/,羊
12712,羧,13,吅,羊,6,夋,7,TQICE,/,羊
12714,義,13,吕,𦍌,6,我,7,TGHQI,?/,羊
12718,羭,15,吅,羊,6,俞,9,TQOMN,/,羊
12719,羮,15,吕,羔,10,美*,5,TGFMO,/?,羊
12720,羯,15,吅,羊,6,曷,9,TQAPV,/,羊
12721,羰,15,吅,羊,6,炭,9,TQUMF,/,羊
12723,羲,16,吕,𦍌,6,,10,TGHDS,?/?,羊
12725,羴,18,品,羊,6,*,12,TQTQQ,/,羊
12726,羵,18,吅,羊,6,賁,12,TQJTC,/,羊
12727,羶,19,吅,羊,6,亶,13,TQYWM,/,羊
12728,羷,19,吅,羊,6,僉,13,TQOMO,/,羊
12729,羸,19,回,𣎆,6,羊,13,YNTQ,?/,羊
12730,羹,19,吕,羔,10,美,9,TGFTK,/,羊
12731,羺,20,吅,羊,6,需,14,TQMBB,/,羊
12733,羼,21,吕,尸,3,羴,18,STQQ,/,羊
12734,羽,6,吅,习,3,习,3,SMSIM,/,*
12736,羿,9,吕,羽,6,廾,3,SMT,/,羽
12737,翀,10,吅,羽,6,中,4,SML,/,羽
12738,翁,10,吕,公,4,羽,6,CISM,/,羽
12739,翂,10,吅,羽,6,分,4,SMCSH,/,羽
12740,翃,10,吅,厷,4,羽,6,KISMM,/,羽
12742,翅,10,吅,支,4,羽,6,JESMM,/,羽
12743,翆,10,吕,羽,6,卆,4,SMKNJ,/,羽
12745,翈,11,吅,甲,5,羽,6,WLSMM,/,羽
12746,翉,11,吅,本,5,羽,6,DMSMM,/,羽
12747,翊,11,吅,立,5,羽,6,YTSMM,/,羽
12749,翌,11,吕,羽,6,立,5,SMYT,/,羽
12751,翎,11,吅,令,5,羽,6,OISMM,/,羽
12753,翐,11,吅,羽,6,失,5,SMHQO,/,羽
12754,翑,11,吅,羽,6,句,5,SMPR,/,羽
12755,習,11,吕,羽,6,白,5,SMHA,/,羽
12757,翔,12,吅,羊,6,羽,6,TQSMM,/,羽
12758,翕,12,吕,合,6,羽,6,ORSMM,/,羽
12759,翖,12,吅,合,6,羽,6,ORSMM,/,羽
12761,翘,12,吅,尧,6,羽,6,JUSMM,/,羽
12762,翙,12,吅,岁,6,羽,6,UNSMM,/,羽
12763,翚,12,冖,羽,6,车,4,SMBKQ,/,羽
12764,翛,13,回,攸,7,羽,6,OLOM,/,羽
12765,翜,14,吕,羽,6,夾,8,SMKOO,/,羽
12768,翟,14,吕,羽,6,隹,8,SMOG,/,羽
12769,翠,14,吕,羽,6,卒,8,SMYOJ,/,羽
12770,翡,14,吕,非,8,羽,6,LYSMM,/,羽
12771,翢,14,吅,周,8,羽,6,BRSMM,/,羽
12772,翣,14,吕,羽,6,妾,8,SMYTV,/,羽
12774,翥,14,吕,者,8,羽,6,JASMM,/,羽
12775,翦,15,吕,前,9,羽,6,TBNM,/,羽
12776,翧,15,吅,宣,9,羽,6,JMSMM,/,羽
12778,翩,15,吅,扁,9,羽,6,IBSMM,/,羽
12780,翫,15,吅,習,11,元,4,SAMMU,/,羽
12781,翬,15,冖,羽,6,車,7,SMBJJ,/,羽
